"State","Year","Deaths","Death_Rate","Pct_of_Total_Deaths","Multiple_Cause_of_death","log_of_Deaths","log_of_Pct_of_Deaths","log_of_Death_Rate"
"Wyoming",2000,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2000,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2000,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2000,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2000,0,0,0,"All Opioids",0,0,0
"Wyoming",2001,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2001,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2001,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2001,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2001,0,0,0,"All Opioids",0,0,0
"Wyoming",2002,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2002,10,NA,0,"Other opioids",2.30258509299405,0,NA
"Wyoming",2002,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2002,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2002,10,0,0,"All Opioids",2.30258509299405,0,0
"Wyoming",2003,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2003,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2003,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2003,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2003,0,0,0,"All Opioids",0,0,0
"Wyoming",2004,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2004,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2004,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2004,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2004,0,0,0,"All Opioids",0,0,0
"Wyoming",2005,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2005,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2005,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2005,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2005,0,0,0,"All Opioids",0,0,0
"Wyoming",2006,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2006,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2006,NA,NA,NA,"Methadone",NA,NA,NA
"Wyoming",2006,NA,NA,NA,"Other synthetic narcotics",NA,NA,NA
"Wyoming",2006,0,0,0,"All Opioids",0,0,0
"Wyoming",2007,NA,NA,NA,"Heroin",NA,NA,NA
"Wyoming",2007,NA,NA,NA,"Other opioids",NA,NA,NA
"Wyoming",2007,NA,NA,NA,"Methadone",NA,NA,NA
